date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2020-04-02,sh.600183,26.4100,27.5400,26.2600,27.4800,26.4000,40127077,1084919395.0000,3,1.762900,1,4.090900,0
2020-04-03,sh.600183,27.3000,27.4500,26.2800,26.4600,27.4800,32744797,876360877.0000,3,1.438600,1,-3.711800,0
2020-04-07,sh.600183,27.3000,28.0700,27.2000,27.9200,26.4600,40315186,1118018045.0000,3,1.771200,1,5.517800,0
2020-04-08,sh.600183,27.7500,28.9500,27.5000,28.4100,27.9200,35625129,1011909733.0000,3,1.565100,1,1.755000,0
2020-04-09,sh.600183,28.7400,29.4500,28.4000,28.7300,28.4100,28230365,816559844.0000,3,1.240200,1,1.126400,0
2020-04-10,sh.600183,28.6600,29.1600,28.1000,28.5600,28.7300,26393449,755053234.0000,3,1.159500,1,-0.591700,0
2020-04-13,sh.600183,28.1000,28.3100,27.2000,27.7600,28.5600,23907715,663012776.0000,3,1.050300,1,-2.801100,0
2020-04-14,sh.600183,28.1800,28.9800,28.0000,28.9500,27.7600,24612702,700916584.0000,3,1.081300,1,4.286700,0
2020-04-15,sh.600183,29.0000,29.3400,28.4000,28.5500,28.9500,22856256,661835733.0000,3,1.004100,1,-1.381700,0
2020-04-16,sh.600183,28.0000,28.7300,27.7200,28.3100,28.5500,16600533,468351931.0000,3,0.729300,1,-0.840600,0
2020-04-17,sh.600183,29.0100,29.5000,28.7800,28.9600,28.3100,29636242,865380585.0000,3,1.302000,1,2.296000,0
2020-04-20,sh.600183,29.1000,30.5500,28.9700,30.2000,28.9600,30502254,908706827.0000,3,1.340100,1,4.281800,0
2020-04-21,sh.600183,29.8000,31.4500,29.7000,31.0900,30.2000,35291498,1083564906.0000,3,1.550500,1,2.947000,0
2020-04-22,sh.600183,30.7800,31.2600,30.1800,30.8400,31.0900,20464473,627921694.0000,3,0.899100,1,-0.804100,0
2020-04-23,sh.600183,30.8400,31.8000,30.5300,30.9600,30.8400,23650851,736935940.0000,3,1.039100,1,0.389100,0
2020-04-24,sh.600183,30.9600,31.5000,29.7300,29.8700,30.9600,24778612,750503596.0000,3,1.088600,1,-3.520700,0
2020-04-27,sh.600183,30.0600,30.6300,29.0000,30.1700,29.8700,24266412,728471951.0000,3,1.066100,1,1.004300,0
2020-04-28,sh.600183,30.1700,31.1000,29.5000,30.7300,30.1700,27488647,838154034.0000,3,1.207700,1,1.856100,0
2020-04-29,sh.600183,31.3000,32.0300,30.8000,30.9500,30.7300,30204023,950829962.0000,3,1.327000,1,0.715900,0
2020-04-30,sh.600183,31.5000,32.6100,31.1400,32.4600,30.9500,35656112,1143544836.0000,3,1.566500,1,4.878800,0
2020-05-06,sh.600183,32.2500,33.1200,32.0300,32.9600,32.4600,33892444,1110813952.0000,3,1.489000,1,1.540400,0
2020-05-07,sh.600183,34.0000,34.3500,32.3300,32.8100,32.9600,43472078,1444116491.0000,3,1.909900,1,-0.455100,0
2020-05-08,sh.600183,32.6000,33.3400,32.1800,32.3500,32.8100,36403726,1184138354.0000,3,1.599300,1,-1.402000,0
2020-05-11,sh.600183,32.4500,32.6100,30.8800,31.4000,32.3500,44619250,1407046431.0000,3,1.960300,1,-2.936600,0
2020-05-12,sh.600183,31.3800,31.8600,30.8000,31.8600,31.4000,28791332,906323369.0000,3,1.264900,1,1.465000,0
2020-05-13,sh.600183,31.4800,31.9200,31.0000,31.7000,31.8600,28180885,886008670.0000,3,1.238100,1,-0.502200,0
2020-05-14,sh.600183,31.4800,32.8600,31.2500,32.3500,31.7000,38624343,1251125149.0000,3,1.696900,1,2.050500,0
2020-05-15,sh.600183,32.3700,32.6500,31.8500,31.9900,32.3500,36605213,1175081981.0000,3,1.608200,1,-1.112800,0
2020-05-18,sh.600183,31.1100,31.3500,29.2600,29.4400,31.9900,66439730,1987827408.0000,3,2.918900,1,-7.971200,0
2020-05-19,sh.600183,29.7300,30.3100,29.3800,30.1800,29.4400,30040760,897383746.0000,3,1.319800,1,2.513600,0
2020-05-20,sh.600183,29.9900,30.2700,28.9100,29.2500,30.1800,28892951,851480047.0000,3,1.269400,1,-3.081500,0
2020-05-21,sh.600183,29.3600,29.3800,28.0000,28.2000,29.2500,38747637,1101731655.0000,3,1.702300,1,-3.589700,0
2020-05-22,sh.600183,28.1000,28.3500,27.1600,27.7600,28.2000,29782173,824853668.0000,3,1.308400,1,-1.560300,0
2020-05-25,sh.600183,27.6000,27.6700,26.6800,26.9900,27.7600,37100059,1001945395.0000,3,1.629900,1,-2.773800,0
2020-05-26,sh.600183,27.3000,27.9300,27.2300,27.8000,26.9900,29390146,810400084.0000,3,1.291200,1,3.001100,0
2020-05-27,sh.600183,27.7600,27.9500,26.9000,27.2000,27.8000,29466034,800599179.0000,3,1.294500,1,-2.158300,0
2020-05-28,sh.600183,27.0000,27.4600,26.3500,27.4500,27.2000,26191573,704810443.0000,3,1.150700,1,0.919100,0
2020-05-29,sh.600183,27.1700,27.2500,26.6400,26.8000,27.0500,24481643,658757437.0000,3,1.075600,1,-0.924200,0
2020-06-01,sh.600183,27.1500,28.6800,27.1500,28.5100,26.8000,41566640,1172096371.0000,3,1.826100,1,6.380600,0
2020-06-02,sh.600183,28.5500,29.0200,28.2700,28.7900,28.5100,29018702,831098345.0000,3,1.274900,1,0.982100,0
2020-06-03,sh.600183,28.9500,29.0000,28.0800,28.2500,28.7900,33767897,959057970.0000,3,1.483500,1,-1.875700,0
2020-06-04,sh.600183,28.2500,28.4700,27.5700,27.7700,28.2500,24077453,672672774.0000,3,1.057800,1,-1.699100,0
2020-06-05,sh.600183,27.8000,28.0600,27.4500,27.8600,27.7700,20388882,565011859.0000,3,0.895700,1,0.324100,0
